"Alt","WY","Q.S77","Q.S79","Q.C43","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI"
"SPLC",1992,268439.469464146,1161754.7513975,893315.281933354,14.4824807114617,213274.373578189,178982.77627633,247565.970880048,2123447.2487416,1895521.49558942,2351373.00189378
"SPLC",1993,905871.209388024,1661264.68206749,755393.472679464,15.3926242190409,232746.078543182,200743.290153838,264748.866932525,2938116.81485623,2725404.07411098,3150829.55560149
"SPLC",1994,187824.829427238,827084.299657479,639259.470230241,14.450252672864,157001.270108524,126176.238100717,187826.302116331,1605686.23862215,1400801.68412114,1810570.79312316
"SPLC",1995,1421621.19311373,2378958.70726458,957337.514150843,15.9294004535453,311442.430820608,273189.222838696,349695.638802521,4074056.89696354,3819799.5299761,4328314.26395098
"SPLC",1996,1685131.32421399,3138613.65720867,1453482.33299468,15.5019568816045,434008.97751406,371868.075419455,496149.879608664,5242612.21169561,4829580.65219165,5655643.77119957
"SPLC",1997,247853.100366961,1012569.46639437,764716.366027411,14.1472698053176,188938.438460776,161035.865999301,216841.010922251,1886679.3060298,1701219.44578526,2072139.16627434
"SPLC",1998,1501365.1821012,2936381.28491347,1435016.10281227,14.8758498784995,419788.231888126,353981.043743918,485595.420032334,4910863.10806085,4473462.86716327,5348263.34895843
"SPLC",1999,346813.851909673,1136776.36827365,789962.516363978,14.611673870133,198615.027362334,171019.666471266,226210.388253402,2091450.89200352,1908032.97305281,2274868.81095423
"SPLC",2000,329473.103320514,1518834.86687026,1189361.76354974,14.9949423614589,272435.797384369,217879.080387233,326992.514381504,2684670.95260551,2322049.15048816,3047292.75472285
"SPLC",2001,160344.599779412,428893.779331074,268549.179551662,12.6010396044775,96310.8703562829,61596.1591648404,131025.581547725,955135.126175913,724397.064483435,1185873.18786839
"SPLC",2002,140259.025285367,745712.160488854,605453.135203486,12.1371160969513,164175.950452221,129833.889937975,198518.010966467,1430522.80537046,1202261.63868859,1658783.97205233
"SPLC",2003,633583.636462369,1211797.49070013,578213.854237758,13.6941200520998,188260.010711695,164744.359002789,211775.662420601,2200710.94071492,2044409.6002018,2357012.28122805
"SPLC",2004,580900.177238837,1390114.84920804,809214.671969208,14.4574583613265,223211.899239988,200961.589941792,245462.208538184,2487682.36260251,2339791.36586596,2635573.35933906
"SPLC",2005,936054.328973111,1594170.34542676,658116.016453649,13.8138315733088,228366.565085805,200671.423265334,256061.706906277,2803738.5977683,2619657.46551538,2987819.73002122
"SPLC",2006,1403635.74852836,2658762.37396608,1255126.62543772,15.8018398315636,369236.606980933,326539.533468944,411933.680492921,4499764.90537588,4215970.5241475,4783559.28660427
"SPLC",2007,146936.752416616,675952.970750514,529016.218333898,12.8232937214818,144489.688959995,119395.118328436,169584.259591555,1338108.36119665,1171312.42979456,1504904.29259873
"SPLC",2008,40108.3907374106,299672.872509539,259564.481772128,10.3576446936607,101713.377945535,55698.722757881,147728.03313319,704661.705859442,398816.374498473,1010507.03722041
"SPLC",2009,292811.365832952,1096422.26813411,803610.902301153,13.0370376944509,208865.101797722,173440.497010389,244289.706585054,1994277.80418929,1758821.29701069,2229734.3113679
"SPLC",2010,154094.153213489,1096133.16553988,942039.012326392,13.5790966911861,220169.548852891,174305.180445974,266033.917259808,1998691.9177189,1693845.49659786,2303538.33883994
"SPLC",2011,240682.919872539,759839.954710511,519157.034837972,14.3650661045681,138569.041742942,104707.426054925,172430.65743096,1503213.88906642,1278146.09211598,1728281.68601686
"SPLC",2012,194011.048210202,802303.5466618,608292.498451598,12.4521723221521,166819.399019037,136866.375691573,196772.422346501,1526375.78161224,1327287.20195232,1725464.36127216
"SPLC",2013,411496.690246007,844741.572966809,433244.882720802,13.6074540747407,141900.366060202,111507.471891995,172293.260228409,1625588.60251476,1423576.33598825,1827600.86904128
"SPLC",2014,529397.607046816,1549636.37135862,1020238.7643118,15.0725506575471,255490.323214426,220630.954676682,290349.69175217,2742791.81645166,2511092.2616472,2974491.37125612
"SPLC",2015,828303.475404804,1291669.56512384,463366.089719032,14.8304892047447,173366.500475103,126030.774157941,220702.226792265,2355896.58824148,2041270.50136452,2670522.67511845
"SPLC",2016,792041.678590503,1663016.12316529,870974.444574783,14.6515490575238,251530.542853746,228559.011906828,274502.073800663,2920108.12408128,2767423.38775811,3072792.86040445
"WAS",1966,528506.266788242,1350577.16581596,822070.899027714,13.7413917162336,226839.922369056,200872.27227667,252807.572461441,2409705.17634506,2237106.1529517,2582304.19973842
"WAS",1967,693765.024676523,1531344.96601235,837579.941335825,15.760015245837,228221.08535255,195229.975285712,261212.195419388,2736654.23445526,2517372.42197163,2955936.0469389
"WAS",1968,237951.497261207,820868.196161712,582916.698900505,13.6716581636559,156159.151168015,132185.439304243,180132.863031787,1582268.05150686,1422922.12532256,1741613.97769115
"WAS",1969,1205374.78113286,2088282.24830125,882907.467168384,15.1638685645354,284608.013361578,254003.677804975,315212.348918181,3602235.85717246,3398818.20444379,3805653.50990112
"WAS",1970,1925338.15198576,3254085.08554001,1328746.93355425,15.8558359264023,427012.313415243,370889.114526505,483135.512303981,5438225.19811143,5065191.47024447,5811258.92597839
"WAS",1971,316176.406252615,588827.740367088,272651.334114473,15.4995765231666,87901.0426182542,15984.8824340083,159817.2028025,1268003.5329283,789998.824383604,1746008.24147299
"WAS",1972,137887.646212866,762775.627058554,624887.980845688,12.7736371588829,162888.867902474,134171.237122123,191606.498682824,1469834.61675479,1278957.31329355,1660711.92021603
"WAS",1973,60647.0635969685,570266.557737196,509619.494140228,12.1742033168678,138441.97831502,108055.123444408,168828.833185631,1158488.67911619,956516.553952608,1360460.80427976
"WAS",1974,111398.520207019,684776.693512052,573378.173305033,11.983775524647,156651.649887555,121866.107937097,191437.191838013,1332524.84025058,1101315.98817897,1563733.69232219
"WAS",1975,157788.196078111,945604.389782454,787816.193704343,13.4000962752367,191651.174394495,157539.400410852,225762.948378138,1764238.76664865,1537508.24406208,1990969.28923522
"WAS",1976,87275.5011712379,646303.462870831,559027.961699593,12.6090970619619,147008.819173843,118886.499619795,175131.138727892,1285407.50131719,1098487.04939658,1472327.95323779
"WAS",1977,131003.007722333,623773.627232116,492770.619509783,12.6589657351668,137317.641852507,111624.765154145,163010.518550869,1253911.54017188,1083138.85144085,1424684.22890291
"WAS",1978,61123.2846060955,483607.032164185,422483.74755809,12.0499194058869,122371.964274169,92823.7525933372,151920.175955001,1022995.47682654,826597.556298977,1219393.3973541
"WAS",1979,272744.245145204,905529.563704582,632785.318559378,14.5567475240755,162039.395102626,131836.705512076,192242.084693176,1732163.94020185,1531415.90529552,1932911.97510819
"WAS",1980,613159.784871216,1352714.33720468,739554.552333462,15.712984248769,202621.335245693,165395.565055452,239847.105435935,2457937.81941012,2210509.51700145,2705366.12181879
"WAS",1981,290451.616474865,521923.18580112,231471.569326255,14.6956763953834,83859.0527303192,20942.1633281104,146775.942132528,1147454.83986125,729265.530195781,1565644.14952673
"WAS",1982,74049.2529577286,413383.737165606,339334.484207878,10.9787556834593,115408.197583685,76051.0589965097,154765.336170861,893583.596741516,631988.74085213,1155178.4526309
"WAS",1983,1006122.99398083,2513763.81854389,1507640.82456306,15.0103560829661,391425.403125659,319188.729784644,463662.076466673,4242467.07178953,3762332.01037709,4722602.13320197
"WAS",1984,845714.920640183,1658431.66836615,812716.747725967,16.0013040735837,234245.256097854,197276.498817888,271214.013377821,2943653.55029653,2697933.53404988,3189373.56654319
"WAS",1985,465338.14065676,933041.095200444,467702.954543685,15.6191189454135,137698.004706918,81521.3566181279,193874.652795709,1805394.2819182,1432005.29357532,2178783.27026108
"WAS",1986,251582.187165016,782058.894574946,530476.70740993,13.5375400444036,148063.656421195,123712.078202693,172415.234639697,1520577.67317041,1358720.18496308,1682435.16137775
"WAS",1987,289258.130713225,1276086.91724845,986828.78653522,13.8558223389653,238154.461574646,194192.681544592,282116.2416047,2286745.10163746,1994544.60321631,2578945.60005861
"WAS",1988,140747.711229683,1000103.09926431,859355.388034626,14.0502090591309,199233.49822626,162302.244634296,236164.751818224,1860576.70212515,1615105.96141555,2106047.44283474
"WAS",1989,170052.602351153,553473.122197585,383420.519846432,15.0377272255708,100886.459199341,45806.1921687243,155966.726229957,1197393.05290049,831291.373930413,1563494.73187057
"WAS",1990,100524.743760263,768314.860509579,667790.116749316,12.7204553964645,168565.38458805,135961.234595714,201169.534580386,1475494.18786917,1258784.38058099,1692203.99515735
"WAS",1991,74702.9670434186,618003.07182581,543300.104782391,12.4196688041818,144330.216091494,115102.52610515,173557.906077838,1237472.28600241,1043204.77509021,1431739.79691462
"WAS",1992,319323.408543582,1164808.64360909,845485.235065509,14.8655105570008,205230.844069365,173736.275671332,236725.412467398,2138460.0014367,1929125.24344527,2347794.75942814
